timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1500293020.792986,0.104451,0.358641,-0.996721,-0.588044,1.353227,-0.539133,0.097628,-0.351002,-0.931271,-0.050371,-0.041073,-0.086353,11.157084,-31.150837,-39.107285,,,,,,,
,,,,,,,,,,,,,,,,46.907998,-94.376837,436.432983,0.000000,34.804688,1500293020.787464,
,,,,,,,,,,,,,,,,46.907998,-94.376837,436.432983,0.000000,34.804688,1500293019.999922,
1500293020.814140,0.130784,0.349221,-1.009940,-0.314101,0.758786,-0.666678,0.122540,-0.342166,-0.931615,-0.002209,-0.066800,0.039434,12.612198,-30.489624,-39.186092,,,,,,,
1500293020.824717,0.137213,0.344984,-1.016720,-0.324499,0.255017,-0.640602,0.128724,-0.338182,-0.932236,0.123275,-0.095961,0.079437,13.253954,-30.257879,-39.153904,,,,,,,
1500293020.803564,0.119269,0.353526,-1.002988,-0.398010,1.130479,-0.632020,0.111628,-0.346208,-0.931493,0.008703,-0.062758,0.039312,12.612198,-30.489624,-39.186092,,,,,,,
1500293020.845871,0.128347,0.335577,-1.028695,-0.359095,-1.159860,-0.543618,0.120855,-0.329314,-0.936454,0.131144,-0.104829,0.083656,13.972496,-29.800255,-39.254921,,,,,,,
1500293020.856448,0.112618,0.332425,-1.033931,-0.187631,-1.793346,-0.486448,0.106227,-0.326336,-0.939266,0.277806,-0.111591,-0.111363,13.905696,-29.554733,-39.463703,,,,,,,
1500293020.867026,0.091964,0.332192,-1.038673,0.098848,-2.167570,-0.406301,0.086814,-0.326116,-0.941335,0.184808,-0.078196,-0.183482,12.848676,-29.225563,-40.062607,,,,,,,
1500293020.877602,0.069855,0.335129,-1.043055,0.375007,-2.226367,-0.352986,0.065915,-0.328891,-0.942065,0.205707,-0.075421,-0.182752,12.848676,-29.225563,-40.062607,,,,,,,
1500293020.835295,0.136821,0.340253,-1.023039,-0.376825,-0.415389,-0.609052,0.128575,-0.333725,-0.933861,0.123424,-0.100418,0.081062,13.972496,-29.800255,-39.254921,,,,,,,
1500293020.888179,0.048305,0.340304,-1.046583,0.537033,-2.103065,-0.259646,0.045517,-0.333773,-0.941554,-0.052078,-0.117200,-0.111837,12.037060,-29.246071,-40.299023,,,,,,,
1500293020.898757,0.029976,0.346498,-1.048828,0.610311,-1.702077,-0.150386,0.028191,-0.339606,-0.940145,-0.006889,0.013694,-0.039942,10.410559,-29.598875,-40.493969,,,,,,,
1500293020.909333,0.014165,0.352860,-1.049981,0.590114,-1.505936,-0.074913,0.013291,-0.345583,-0.938294,0.008010,0.019671,-0.041793,10.410559,-29.598875,-40.493969,,,,,,,
1500293020.919910,-0.001786,0.358317,-1.051024,0.486539,-1.562275,-0.105631,-0.001673,-0.350699,-0.936487,0.022974,0.024786,-0.043600,9.752255,-29.848160,-40.474876,,,,,,,
1500293020.930488,-0.017457,0.362552,-1.052470,0.369305,-1.484568,-0.135782,-0.016321,-0.354661,-0.934852,0.028620,0.184083,-0.005562,8.493820,-30.268915,-40.446041,,,,,,,
1500293020.941064,-0.028751,0.365879,-1.052906,0.309630,-0.906243,0.008608,-0.026845,-0.357770,-0.933424,0.039143,0.187192,-0.006991,8.493820,-30.268915,-40.446041,,,,,,,
1500293020.951641,-0.032507,0.369768,-1.049609,0.387743,-0.014899,0.363392,-0.030304,-0.361399,-0.931919,0.184983,-0.004583,0.181659,7.944852,-30.405621,-40.455063,,,,,,,
1500293020.962219,-0.029060,0.373090,-1.044158,0.288593,0.647031,0.482471,-0.027057,-0.364495,-0.930812,0.107166,0.063637,0.171413,7.561903,-30.752647,-40.265705,,,,,,,
1500293020.972795,-0.023285,0.374189,-1.038553,0.058901,0.725690,0.494044,-0.021672,-0.365518,-0.930552,0.101781,0.064660,0.171153,7.561903,-30.752647,-40.265705,,,,,,,
1500293020.983372,-0.019442,0.373240,-1.032660,-0.116805,0.499747,0.531224,-0.018103,-0.364635,-0.930975,0.177694,0.004817,0.072073,7.701566,-30.890205,-40.133724,,,,,,,
1500293020.993950,-0.019789,0.371382,-1.025867,-0.166634,0.088299,0.632364,-0.018439,-0.362904,-0.931644,0.226248,-0.046535,0.007877,7.817842,-30.921986,-40.086739,,,,,,,
1500293021.004526,-0.025775,0.369916,-1.017528,-0.100549,-0.404579,0.774653,-0.024029,-0.361537,-0.932048,0.231838,-0.047902,0.008281,7.817842,-30.921986,-40.086739,,,,,,,
1500293021.015103,-0.037394,0.369243,-1.007354,-0.019333,-0.860309,0.945224,-0.034866,-0.360909,-0.931949,0.242675,-0.048530,0.008182,7.585419,-30.910585,-40.140148,,,,,,,
1500293021.036257,-0.069430,0.368182,-0.984692,-0.019232,-1.142904,0.948952,-0.064725,-0.359920,-0.930735,0.189771,-0.025029,0.018794,6.373748,-31.009300,-40.274471,,,,,,,
1500293021.025681,-0.053116,0.368883,-0.995813,0.012799,-1.148543,1.030881,-0.049519,-0.360574,-0.931415,0.174565,-0.024375,0.019474,6.373748,-31.009300,-40.274471,,,,,,,
1500293021.046834,-0.082973,0.366939,-0.975419,-0.064644,-0.894891,0.776264,-0.077361,-0.358760,-0.930218,0.105239,0.013545,0.128323,5.540172,-31.078056,-40.344711,,,,,,,
1500293021.057412,-0.093348,0.365952,-0.967894,-0.015219,-0.673994,0.649866,-0.087040,-0.357838,-0.929718,0.090275,-0.019558,0.037171,4.176154,-31.123386,-40.473812,,,,,,,
1500293021.067988,-0.099158,0.366033,-0.960516,0.105564,-0.186343,0.654202,-0.092438,-0.357914,-0.929168,0.095673,-0.019482,0.036620,4.176154,-31.123386,-40.473812,,,,,,,
1500293021.078565,-0.103940,0.367837,-0.952269,0.281585,-0.155885,0.731237,-0.096813,-0.359598,-0.928072,-0.013432,0.005517,0.097093,3.730849,-31.154593,-40.493294,,,,,,,
1500293021.089143,-0.106422,0.370265,-0.942088,0.325462,0.224980,0.929771,-0.099023,-0.361862,-0.926957,-0.011222,0.007782,0.095979,3.141855,-31.401678,-40.352173,,,,,,,
1500293021.099719,-0.106249,0.371869,-0.927899,0.261770,0.556870,1.342350,-0.098801,-0.363357,-0.926396,-0.011444,0.009277,0.095418,3.141855,-31.401678,-40.352173,,,,,,,
1500293021.110296,-0.109791,0.372106,-0.908292,0.195904,0.197398,1.825498,-0.102072,-0.363578,-0.925955,0.142721,-0.029977,0.200049,2.945493,-31.568850,-40.236382,,,,,,,
1500293021.120874,-0.121122,0.371310,-0.885687,0.130018,-0.444324,2.018701,-0.112592,-0.362836,-0.925026,-0.086718,0.027860,-0.122582,2.048635,-31.841877,-40.076584,,,,,,,
1500293021.131450,-0.137648,0.368274,-0.862833,-0.088758,-0.889849,2.041560,-0.128014,-0.360006,-0.924126,-0.071296,0.025030,-0.123482,2.048635,-31.841877,-40.076584,,,,,,,
1500293021.142027,-0.163613,0.362666,-0.842867,-0.307254,-2.241981,1.653203,-0.152289,-0.354768,-0.922468,-0.368387,0.114030,-0.145494,1.129614,-31.911812,-40.057396,,,,,,,
1500293021.152605,-0.202481,0.355976,-0.839694,-0.691947,-3.804289,-0.119793,-0.188493,-0.348505,-0.918158,-0.459304,0.197184,0.203742,-1.592818,-31.694046,-40.214241,,,,,,,
1500293021.163181,-0.239267,0.348461,-0.855439,-1.031617,-3.963853,-1.471010,-0.222747,-0.341452,-0.913123,-0.425049,0.190130,0.198707,-1.592818,-31.694046,-40.214241,,,,,,,
1500293021.173759,-0.270288,0.345298,-0.875188,-0.578803,-3.365432,-1.603605,-0.251249,-0.338477,-0.906812,0.049803,0.061255,0.081509,-3.123106,-31.347122,-40.396023,,,,,,,
1500293021.194912,-0.309309,0.354781,-0.885408,0.743939,-1.332717,0.232779,-0.285443,-0.347385,-0.893222,0.083996,0.070164,0.067920,-5.114711,-30.902914,-40.534973,,,,,,,
1500293021.184336,-0.292892,0.348371,-0.887101,0.173640,-2.206771,-0.870301,-0.271379,-0.341367,-0.899901,0.069932,0.064146,0.074599,-5.114711,-30.902914,-40.534973,,,,,,,
1500293021.205490,-0.327616,0.361111,-0.874022,0.898604,-1.424832,0.891787,-0.301033,-0.353314,-0.885747,0.632302,-0.139362,-0.058894,-5.749115,-31.081305,-40.312958,,,,,,,
1500293021.216067,-0.350375,0.366134,-0.862270,0.745624,-1.862686,0.732286,-0.320499,-0.358009,-0.876989,0.149646,-0.098519,0.173361,-7.397531,-31.694729,-39.559517,,,,,,,
1500293021.226643,-0.373838,0.370619,-0.857748,0.463890,-2.115513,0.046289,-0.340395,-0.362193,-0.867725,0.169543,-0.094335,0.164097,-7.397531,-31.694729,-39.559517,,,,,,,
1500293021.237221,-0.396130,0.374419,-0.860362,0.175713,-2.216824,-0.443292,-0.359119,-0.365732,-0.858646,0.017322,-0.129004,0.373631,-8.394798,-31.930048,-39.169296,,,,,,,
1500293021.247798,-0.418005,0.376818,-0.866713,-0.075726,-2.317260,-0.645351,-0.377457,-0.367964,-0.849781,-0.013244,-0.005922,0.402424,-9.991108,-32.198254,-38.570518,,,,,,,
